date;gender;age;nation;comment
2021-06-07;Female;49;Austria;The price seems average compared to otehr machines in the market. The price is standard but doesn't stand out as a bargain or a splurge. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle.
2019-11-18;Female;45;Poland;It leaks water frequently, making the laundry area a mess every time I run it. The spin cycle is noisy and shakes violently, which is very concerning. The cycle often stops abruptly causing wet clotehs and frustrating delays in my schedule. It leaks water frequently, making the laundry area a mess every time I run it.
2023-05-09;Female;42;Germany;It rinses fine but sometimes I still find detergent residue on my clotehs. The wash cycle works okay but nothing special to write home about. It rinses fine but sometimes I still find detergent residue on my clotehs. It rinses fine but sometimes I still find detergent residue on my clotehs. I guess the performance is average as it gets the job done without issues.
2022-09-16;Male;49;Czech Republic;I had to call multiple times because the service team kept transferring me. I had to call multiple times because the service team kept transferring me. The support servce was slow and unhelpful, I waited days for a response.
2023-11-03;Female;40;Germany;The minimalist look is impressive and makes the appliance feel premium. The minimalist look is impressive and makes the appliance feel premium. The minimalist look is impressive and makes the appliance feel premium. The minimalist look is impressive and makes the appliance feel premium. This washer's stylish appearance has definitely elevated my laundry room's aestehtics.
2020-07-30;Female;44;Germany;Missing the sanitize option is disappointing as I need it for baby clotehs. I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. I wish it had a steam cycle fetura for better stain removal, it's a missed opportunity. Missing the sanitize option is disappointing as I need it for baby clotehs. The absence of an app integration feature makes it inconvenient to control remotely. Missing the sanitize option is disappointing as I need it for baby clotehs. The absence of an app integration feature makes it inconvenient to control remotely.
2020-06-10;Female;68;Switzerland;I got a helpful reply from the support team quickly, very professional. I got a helpful reply from the support team quickly, very professional. Service team was accommodating and provided clear instructions to fix the problem. Service team was accommodating and provided clear instructions to fix the problem. Service team was accommodating and provided clear instructions to fix the problem.
2021-08-10;Male;39;Switzerland;The cycle presets are okay but sometimes I have to manually tweak tehm. The temperature control feature is fine but could use more granular settings. The cycle presets are okay but sometimes I have to manually tweak tehm. The cycle presets are okay but sometimes I have to manually tweak tehm.
2023-02-19;Male;35;Czech Republic;The temperature control feature is fine but could use more granular settings. The temperature control feature is fine but could use more granular settings. The cycle presets are okay but sometimes I have to manually tweak tehm.
2019-09-30;Female;55;Austria;The design feels outdated and does not appeal to me at all. The design feels outdated and does not appeal to me at all. The design feels outdated and does not appeal to me at all.
2021-04-06;Male;35;Austria;I absolutely love the sleek design, it looks very modern and fits perfectly in my home. The minimalist look is impressive and makes the appliance feel premium. I absolutely love the sleek design, it looks very modern and fits perfectly in my home. I absolutely love the sleek design, it looks very modern and fits perfectly in my home. This washer's stylish appearance has definitely elevated my laundry room's aestehtics. The minimalist look is impressive and makes the appliance feel premium.
2024-10-26;Male;34;Austria;I guess the performance is average as it gets the job done without issues. It rinses fine but sometimes I still find detergent residue on my clotehs. It rinses fine but sometimes I still find detergent residue on my clotehs. The wash cycle works okay but nothing special to write home about. The wash cycle works okay but nothing special to write home about. I guess the performance is average as it gets the job done without issues.
2020-05-29;Female;53;Germany;The customer servce was extremely responsive and resolved my issue within hours. The customer servce was extremely responsive and resolved my issue within hours. Service team was accommodating and provided clear instructions to fix the problem. The customer servce was extremely responsive and resolved my issue within hours. I got a helpful reply from the support team quickly, very professional.
2024-10-15;Female;63;Czech Republic;
2024-04-25;Male;66;Germany;
2022-10-12;Female;57;Switzerland;The temperature control feature is fine but could use more granular settings. The temperature control feature is fine but could use more granular settings. The temperature control feature is fine but could use more granular settings. I find the delay timer feature adequate but not very intuitive. The temperature control feature is fine but could use more granular settings.
2023-08-22;Female;35;Austria;I guess the performance is average as it gets the job done without issues. I guess the performance is average as it gets the job done without issues. I guess the performance is average as it gets the job done without issues. I guess the performance is average as it gets the job done without issues. The wash cycle works okay but nothing special to write home about. I guess the performance is average as it gets the job done without issues.
2024-02-28;Male;60;Germany;Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle. The price is standard but doesn't stand out as a bargain or a splurge. The price is standard but doesn't stand out as a bargain or a splurge. The price seems average compared to otehr machines in the market. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle.
2023-01-31;Male;35;Germany;I feel the cost is justified given the premium features included. Given its performance and reliability, the price is very reasonable and good value. I feel the cost is justified given the premium features included. I feel the cost is justified given the premium features included. I feel the cost is justified given the premium features included. I feel the cost is justified given the premium features included. I feel the cost is justified given the premium features included.
2024-11-29;Male;53;Czech Republic;This machne's color is dull and makes it look cheap. The design feels outdated and does not appeal to me at all. The design feels outdated and does not appeal to me at all. This machne's color is dull and makes it look cheap. The design feels outdated and does not appeal to me at all. The design feels outdated and does not appeal to me at all. I find the bulky design quite unattractive and it clashes with my decor.
2019-10-15;Male;32;Germany;It leaks water frequently, making the laundry area a mess every time I run it. The spin cycle is noisy and shakes violently, which is very concerning. It leaks water frequently, making the laundry area a mess every time I run it. It leaks water frequently, making the laundry area a mess every time I run it. It leaks water frequently, making the laundry area a mess every time I run it. It leaks water frequently, making the laundry area a mess every time I run it.
2024-03-06;Female;37;Germany;I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly. The cost doesn't match the quality, I expected more at this price.
2023-08-25;Female;40;Switzerland;It handles large loads effortlessly while still delivering spotless results. I appreciate how quietly this machne operates during a full load. It handles large loads effortlessly while still delivering spotless results. It handles large loads effortlessly while still delivering spotless results.
2020-07-11;Female;34;Germany;The cost doesn't match the quality, I expected more at this price. The cost doesn't match the quality, I expected more at this price. I regret paying such a high price when budget models perform similarly. I regret paying such a high price when budget models perform similarly.
2020-12-03;Female;28;Switzerland;The price seems average compared to otehr machines in the market. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle. The price seems average compared to otehr machines in the market. The price seems average compared to otehr machines in the market. The price is standard but doesn't stand out as a bargain or a splurge. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle.
2020-01-19;Female;39;Poland;It rinses fine but sometimes I still find detergent residue on my clotehs. It rinses fine but sometimes I still find detergent residue on my clotehs. I guess the performance is average as it gets the job done without issues.
2023-08-28;Female;48;Poland;Considering the energy savings, the price point is quite attractive. I feel the cost is justified given the premium features included. Considering the energy savings, the price point is quite attractive. Considering the energy savings, the price point is quite attractive. I feel the cost is justified given the premium features included. Given its performance and reliability, the price is very reasonable and good value.
2025-01-03;Female;35;Germany;
2025-03-14;Male;57;Germany;The minimalist look is impressive and makes the appliance feel premium. The minimalist look is impressive and makes the appliance feel premium. I absolutely love the sleek design, it looks very modern and fits perfectly in my home.
2020-03-05;Female;54;Switzerland;
2025-02-18;Male;30;Austria;The wash cycle works okay but nothing special to write home about. I guess the performance is average as it gets the job done without issues. The wash cycle works okay but nothing special to write home about. I guess the performance is average as it gets the job done without issues.
2020-02-07;Female;39;Poland;This washer's stylish appearance has definitely elevated my laundry room's aestehtics. This washer's stylish appearance has definitely elevated my laundry room's aestehtics. I absolutely love the sleek design, it looks very modern and fits perfectly in my home. The minimalist look is impressive and makes the appliance feel premium. This washer's stylish appearance has definitely elevated my laundry room's aestehtics.
2020-01-21;Male;43;Czech Republic;It leaks water frequently, making the laundry area a mess every time I run it. It leaks water frequently, making the laundry area a mess every time I run it. It leaks water frequently, making the laundry area a mess every time I run it. The spin cycle is noisy and shakes violently, which is very concerning. The spin cycle is noisy and shakes violently, which is very concerning. It leaks water frequently, making the laundry area a mess every time I run it.
2020-02-05;Male;56;Germany;The customer servce rep seemed uninterested and couldn't solve my issue. The support servce was slow and unhelpful, I waited days for a response. The support servce was slow and unhelpful, I waited days for a response. The support servce was slow and unhelpful, I waited days for a response.
2022-07-25;Female;35;Poland;The customer servce was okay but took some time to get back to me. Support team was adequate, neitehr exceptionally good nor bad. Service response was average and lacked detailed explanations.
2025-04-30;Male;65;Poland;Missing the sanitize option is disappointing as I need it for baby clotehs. The absence of an app integration feature makes it inconvenient to control remotely. Missing the sanitize option is disappointing as I need it for baby clotehs. Missing the sanitize option is disappointing as I need it for baby clotehs. The absence of an app integration feature makes it inconvenient to control remotely.
2021-01-29;Female;24;Poland;The temperature control feature is fine but could use more granular settings. I find the delay timer feature adequate but not very intuitive. The temperature control feature is fine but could use more granular settings.
2024-08-15;Female;71;Poland;The cycle presets are okay but sometimes I have to manually tweak tehm. The cycle presets are okay but sometimes I have to manually tweak tehm. The temperature control feature is fine but could use more granular settings. The temperature control feature is fine but could use more granular settings. The temperature control feature is fine but could use more granular settings. The temperature control feature is fine but could use more granular settings. I find the delay timer feature adequate but not very intuitive.
2021-02-07;Male;39;Austria;The design feels outdated and does not appeal to me at all. The design feels outdated and does not appeal to me at all. This machne's color is dull and makes it look cheap. I find the bulky design quite unattractive and it clashes with my decor.
2021-08-10;Female;61;Austria;The spin cycle is noisy and shakes violently, which is very concerning. It leaks water frequently, making the laundry area a mess every time I run it. It leaks water frequently, making the laundry area a mess every time I run it. The spin cycle is noisy and shakes violently, which is very concerning.
2024-02-23;Male;66;Austria;Service team was accommodating and provided clear instructions to fix the problem. Service team was accommodating and provided clear instructions to fix the problem. The customer servce was extremely responsive and resolved my issue within hours. Service team was accommodating and provided clear instructions to fix the problem. Service team was accommodating and provided clear instructions to fix the problem. The customer servce was extremely responsive and resolved my issue within hours.
2025-04-23;Male;32;Austria;The temperature control feature is fine but could use more granular settings. The cycle presets are okay but sometimes I have to manually tweak tehm. The temperature control feature is fine but could use more granular settings. The temperature control feature is fine but could use more granular settings. The temperature control feature is fine but could use more granular settings. The cycle presets are okay but sometimes I have to manually tweak tehm. The temperature control feature is fine but could use more granular settings.
2020-10-29;Male;44;Switzerland;This machne's color is dull and makes it look cheap. The design feels outdated and does not appeal to me at all. I find the bulky design quite unattractive and it clashes with my decor. This machne's color is dull and makes it look cheap.
2021-02-22;Male;31;Germany;
2024-08-18;Male;43;Czech Republic;The wash and spin cycles run smoothly with no vibration and clean clotehs thoroughly. I appreciate how quietly this machne operates during a full load. It handles large loads effortlessly while still delivering spotless results. It handles large loads effortlessly while still delivering spotless results. I appreciate how quietly this machne operates during a full load.
2022-08-26;Female;50;Switzerland;It handles large loads effortlessly while still delivering spotless results. It handles large loads effortlessly while still delivering spotless results. I appreciate how quietly this machne operates during a full load. The wash and spin cycles run smoothly with no vibration and clean clotehs thoroughly. The wash and spin cycles run smoothly with no vibration and clean clotehs thoroughly. It handles large loads effortlessly while still delivering spotless results.
2023-03-18;Female;18;Switzerland;
2023-08-27;Female;66;Germany;The minimalist look is impressive and makes the appliance feel premium. This washer's stylish appearance has definitely elevated my laundry room's aestehtics. I absolutely love the sleek design, it looks very modern and fits perfectly in my home. The minimalist look is impressive and makes the appliance feel premium.
2024-02-21;Male;37;Czech Republic;The wash cycle works okay but nothing special to write home about. It rinses fine but sometimes I still find detergent residue on my clotehs. I guess the performance is average as it gets the job done without issues. The wash cycle works okay but nothing special to write home about.
2020-04-04;Female;26;Switzerland;The wash cycle works okay but nothing special to write home about. I guess the performance is average as it gets the job done without issues. I guess the performance is average as it gets the job done without issues.
2023-07-30;Male;55;Poland;I find the delay timer feature adequate but not very intuitive. The cycle presets are okay but sometimes I have to manually tweak tehm. I find the delay timer feature adequate but not very intuitive. I find the delay timer feature adequate but not very intuitive. The temperature control feature is fine but could use more granular settings. The cycle presets are okay but sometimes I have to manually tweak tehm.
2022-02-05;Female;40;Austria;The design feels outdated and does not appeal to me at all. This machne's color is dull and makes it look cheap. This machne's color is dull and makes it look cheap. This machne's color is dull and makes it look cheap. This machne's color is dull and makes it look cheap.
2024-08-10;Female;38;Germany;Support team was adequate, neitehr exceptionally good nor bad. Support team was adequate, neitehr exceptionally good nor bad. Support team was adequate, neitehr exceptionally good nor bad. Service response was average and lacked detailed explanations. Service response was average and lacked detailed explanations. The customer servce was okay but took some time to get back to me. The customer servce was okay but took some time to get back to me.
2021-12-11;Female;37;Germany;I got a helpful reply from the support team quickly, very professional. Service team was accommodating and provided clear instructions to fix the problem. The customer servce was extremely responsive and resolved my issue within hours. Service team was accommodating and provided clear instructions to fix the problem. The customer servce was extremely responsive and resolved my issue within hours. The customer servce was extremely responsive and resolved my issue within hours.
2020-04-06;Female;50;Germany;I appreciate how quietly this machne operates during a full load. It handles large loads effortlessly while still delivering spotless results. I appreciate how quietly this machne operates during a full load. I appreciate how quietly this machne operates during a full load. It handles large loads effortlessly while still delivering spotless results. The wash and spin cycles run smoothly with no vibration and clean clotehs thoroughly.
2024-03-05;Female;35;Germany;Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle. The price seems average compared to otehr machines in the market. Cost-wise, this washer is neitehr cheap nor premium, it sits in the middle.
